anomaly_id,entity_type,entity_id,anomaly_type,module,severity,start_ts,end_ts,projected_impact_inr,realized_impact_inr,formula_name,formula_inputs_json,root_cause,recommended_action,required_team_type,required_role,expected_approver_role
A-5,work_item,5,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-16T12:44:00+05:30,2026-03-16T16:28:00+05:30,492.95,292.36,driver_shortage_loss,"{""delay_minutes"": 10, ""basket_value_inr"": 349.62, ""cancelled"": true, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-7,work_item,7,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-17T12:00:00+05:30,2026-03-17T14:20:00+05:30,238.1,67.05,driver_shortage_loss,"{""delay_minutes"": 18, ""basket_value_inr"": 197.88, ""cancelled"": true, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-14,work_item,14,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-22T12:41:00+05:30,2026-03-22T16:18:00+05:30,667.78,186.97,driver_shortage_loss,"{""delay_minutes"": 15, ""basket_value_inr"": 568.35, ""cancelled"": true, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-19,work_item,19,driver_shortage_peak_window,SLA Sentinel,high,2026-03-27T12:30:00+05:30,,414.86,,driver_shortage_loss,"{""delay_minutes"": 14, ""basket_value_inr"": 352.4, ""cancelled"": false, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-27,work_item,27,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:26:00+05:30,,803.08,,driver_shortage_loss,"{""delay_minutes"": 13, ""basket_value_inr"": 722.71, ""cancelled"": false, ""reason"": ""rider_shortage""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-37,work_item,37,driver_shortage_peak_window,SLA Sentinel,high,2026-03-27T12:00:00+05:30,,362.76,,driver_shortage_loss,"{""delay_minutes"": 11, ""basket_value_inr"": 240.87, ""cancelled"": false, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-38,work_item,38,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:02:00+05:30,,766.81,,driver_shortage_loss,"{""delay_minutes"": 12, ""basket_value_inr"": 668.61, ""cancelled"": false, ""reason"": ""store_backlog""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-40,work_item,40,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-20T12:39:00+05:30,2026-03-20T16:07:00+05:30,189.95,105.67,driver_shortage_loss,"{""delay_minutes"": 13, ""basket_value_inr"": 212.66, ""cancelled"": true, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-45,work_item,45,driver_shortage_peak_window,SLA Sentinel,high,2026-03-27T12:34:00+05:30,,958.9,,driver_shortage_loss,"{""delay_minutes"": 12, ""basket_value_inr"": 871.64, ""cancelled"": false, ""reason"": ""rain""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-49,work_item,49,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:12:00+05:30,,1066.09,,driver_shortage_loss,"{""delay_minutes"": 11, ""basket_value_inr"": 888.2, ""cancelled"": false, ""reason"": ""store_backlog""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
